Dataset,L,Method,k,w_prime,Seed,Edge_Count,Mat_Time_s,Macro_F1,CKA,Pred_Agreement
HGB_DBLP,2,MPRW,,1,42,2508,0.0005,0.78878,0.861444,0.92775
HGB_DBLP,2,MPRW,,1,43,2496,0.0005,0.795375,0.851769,0.926929
HGB_DBLP,2,MPRW,,1,44,2436,0.0006,0.791407,0.854992,0.926929
HGB_DBLP,2,MPRW,,1,45,2462,0.001,0.795197,0.859208,0.928571
HGB_DBLP,2,MPRW,,1,46,2426,0.0009,0.791439,0.85974,0.92734
HGB_DBLP,2,MPRW,,4,42,5630,0.0008,0.80207,0.918983,0.949918
HGB_DBLP,2,MPRW,,4,43,5780,0.0019,0.806289,0.915367,0.95197
HGB_DBLP,2,MPRW,,4,44,5692,0.0012,0.798288,0.920353,0.951149
HGB_DBLP,2,MPRW,,4,45,5570,0.002,0.801497,0.918936,0.950328
HGB_DBLP,2,MPRW,,4,46,5712,0.0023,0.80288,0.923087,0.951149
HGB_DBLP,2,MPRW,,16,42,9744,0.0066,0.804607,0.956198,0.962644
HGB_DBLP,2,MPRW,,16,43,9746,0.0023,0.803246,0.955594,0.963875
HGB_DBLP,2,MPRW,,16,44,9836,0.0039,0.804339,0.958589,0.964696
HGB_DBLP,2,MPRW,,16,45,9766,0.0046,0.803348,0.95676,0.965928
HGB_DBLP,2,MPRW,,16,46,9800,0.0031,0.805134,0.956589,0.966749
HGB_DBLP,2,KGRW,4,1,42,6888,0.008,0.805548,0.936601,0.958539
HGB_DBLP,2,KGRW,4,1,43,6854,0.0098,0.803719,0.934438,0.961412
HGB_DBLP,2,KGRW,4,1,44,6784,0.0047,0.807353,0.937293,0.961002
HGB_DBLP,2,KGRW,4,1,45,6934,0.0096,0.803779,0.939457,0.963465
HGB_DBLP,2,KGRW,4,1,46,6786,0.0099,0.804263,0.937301,0.962233
HGB_DBLP,2,KGRW,4,4,42,9826,0.0129,0.802394,0.954392,0.968391
HGB_DBLP,2,KGRW,4,4,43,9850,0.0093,0.801642,0.954327,0.972085
HGB_DBLP,2,KGRW,4,4,44,9840,0.0136,0.806219,0.955034,0.970033
HGB_DBLP,2,KGRW,4,4,45,9872,0.012,0.803334,0.956384,0.970033
HGB_DBLP,2,KGRW,4,4,46,9804,0.0085,0.802136,0.955212,0.969622
HGB_DBLP,2,KGRW,4,16,42,14070,0.015,0.804559,0.969923,0.978654
HGB_DBLP,2,KGRW,4,16,43,13876,0.0136,0.80016,0.970235,0.978243
HGB_DBLP,2,KGRW,4,16,44,14064,0.0118,0.80591,0.970352,0.979885
HGB_DBLP,2,KGRW,4,16,45,13976,0.0105,0.798103,0.971168,0.979064
HGB_DBLP,2,KGRW,4,16,46,14050,0.0166,0.80225,0.970559,0.977832
HGB_DBLP,2,KGRW,8,1,42,8024,0.0105,0.802369,0.944305,0.960181
HGB_DBLP,2,KGRW,8,1,43,7926,0.0078,0.803212,0.944976,0.966338
HGB_DBLP,2,KGRW,8,1,44,7786,0.0061,0.804163,0.944339,0.963465
HGB_DBLP,2,KGRW,8,1,45,8036,0.0048,0.80652,0.944289,0.963875
HGB_DBLP,2,KGRW,8,1,46,7854,0.0082,0.804702,0.944206,0.964696
HGB_DBLP,2,KGRW,8,4,42,11668,0.0122,0.802439,0.9599,0.974138
HGB_DBLP,2,KGRW,8,4,43,11732,0.0102,0.80031,0.962103,0.974548
HGB_DBLP,2,KGRW,8,4,44,11728,0.0062,0.801292,0.960921,0.973727
HGB_DBLP,2,KGRW,8,4,45,11672,0.0128,0.804714,0.960619,0.972906
HGB_DBLP,2,KGRW,8,4,46,11748,0.0116,0.804627,0.961987,0.975369
HGB_DBLP,2,KGRW,8,16,42,17738,0.011,0.801989,0.97793,0.98358
HGB_DBLP,2,KGRW,8,16,43,17392,0.011,0.799994,0.978586,0.98399
HGB_DBLP,2,KGRW,8,16,44,17660,0.0093,0.799036,0.978483,0.982759
HGB_DBLP,2,KGRW,8,16,45,17450,0.0089,0.79907,0.979708,0.987274
HGB_DBLP,2,KGRW,8,16,46,17652,0.0217,0.803314,0.979627,0.985632
HGB_DBLP,2,KGRW,16,1,42,8560,0.011,0.802736,0.947105,0.962233
HGB_DBLP,2,KGRW,16,1,43,8370,0.0126,0.802633,0.948405,0.967159
HGB_DBLP,2,KGRW,16,1,44,8268,0.0127,0.805482,0.947195,0.965517
HGB_DBLP,2,KGRW,16,1,45,8498,0.0074,0.806917,0.945954,0.964286
HGB_DBLP,2,KGRW,16,1,46,8342,0.0054,0.805187,0.947065,0.965107
HGB_DBLP,2,KGRW,16,4,42,12720,0.0084,0.802052,0.963008,0.974548
HGB_DBLP,2,KGRW,16,4,43,12792,0.0137,0.799263,0.965155,0.973317
HGB_DBLP,2,KGRW,16,4,44,12754,0.0132,0.801517,0.964884,0.974548
HGB_DBLP,2,KGRW,16,4,45,12722,0.0066,0.802453,0.963542,0.970854
HGB_DBLP,2,KGRW,16,4,46,12918,0.008,0.805137,0.964668,0.97619
HGB_DBLP,2,KGRW,16,16,42,20406,0.0109,0.801624,0.983767,0.986453
HGB_DBLP,2,KGRW,16,16,43,20086,0.0074,0.799003,0.982582,0.986864
HGB_DBLP,2,KGRW,16,16,44,20278,0.0198,0.801079,0.984551,0.985632
HGB_DBLP,2,KGRW,16,16,45,20086,0.0195,0.799261,0.983586,0.990148
HGB_DBLP,2,KGRW,16,16,46,20364,0.0156,0.803468,0.984249,0.988506
